,Driver,TeamId,GridPosition,TotalSectorTime (s),Grid_Gap_to_Pole,Quali_vs_Teammate,Race,Year,CleanAirPace_seconds,Practice_Gap_to_Fastest,Practice_vs_Quali_Rank,AirTemp,Pressure,Rain,WindSpeed,TrackTemp,Is_Monza
248,RUS,mercedes,4.0,107.8588043478261,3.0,-3.0,Silverstone,2025,86.125,0.6269999999999953,5.0,17.91741935483871,988.7767741935481,True,1.4832258064516128,23.578709677419354,0
249,BEA,haas,18.0,108.01086956521739,17.0,2.0,Silverstone,2025,86.112,0.6139999999999901,-12.0,17.91741935483871,988.7767741935481,True,1.4832258064516128,23.578709677419354,0
250,SAI,williams,9.0,108.51008695652173,8.0,-2.0,Silverstone,2025,86.332,0.833999999999989,3.0,17.91741935483871,988.7767741935481,True,1.4832258064516128,23.578709677419354,0
251,OCO,haas,14.0,108.17308695652174,13.0,-2.0,Silverstone,2025,86.377,0.8789999999999907,-1.0,17.91741935483871,988.7767741935481,True,1.4832258064516128,23.578709677419354,0
252,LEC,ferrari,6.0,108.30591304347826,5.0,0.5,Silverstone,2025,85.498,0.0,-5.0,17.91741935483871,988.7767741935481,True,1.4832258064516128,23.578709677419354,0
253,TSU,red_bull,11.0,109.99364444444444,10.0,5.0,Silverstone,2025,86.104,0.6059999999999945,-6.0,17.91741935483871,988.7767741935481,True,1.4832258064516128,23.578709677419354,0
254,ANT,mercedes,10.0,120.621,9.0,3.0,Silverstone,2025,86.383,0.8849999999999909,4.0,17.91741935483871,988.7767741935481,True,1.4832258064516128,23.578709677419354,0
255,HAD,rb,12.0,121.23592857142856,11.0,-1.5,Silverstone,2025,86.129,0.6310000000000002,-2.0,17.91741935483871,988.7767741935481,True,1.4832258064516128,23.578709677419354,0
256,BOR,sauber,16.0,136.9505,15.0,-1.5,Silverstone,2025,86.501,1.0030000000000001,1.0,17.91741935483871,988.7767741935481,True,1.4832258064516128,23.578709677419354,0
257,LAW,rb,15.0,,14.0,1.5,Silverstone,2025,86.256,0.7579999999999956,-4.0,17.91741935483871,988.7767741935481,True,1.4832258064516128,23.578709677419354,0
258,COL,alpine,20.0,,19.0,6.0,Silverstone,2025,87.289,1.7909999999999968,0.0,17.91741935483871,988.7767741935481,True,1.4832258064516128,23.578709677419354,0
259,PIA,mclaren,2.0,110.22515,1.0,0.5,Belgium,2025,102.022,0.0,-1.0,17.030044843049332,965.047533632287,True,1.446188340807175,24.09013452914799,0
260,NOR,mclaren,1.0,110.319275,0.0,-0.5,Belgium,2025,102.526,0.5039999999999907,2.0,17.030044843049332,965.047533632287,True,1.446188340807175,24.09013452914799,0
261,LEC,ferrari,3.0,110.71430000000001,2.0,-7.5,Belgium,2025,102.928,0.9059999999999917,2.0,17.030044843049332,965.047533632287,True,1.446188340807175,24.09013452914799,0
262,VER,red_bull,4.0,110.74520000000001,3.0,-1.5,Belgium,2025,102.426,0.40399999999999636,-2.0,17.030044843049332,965.047533632287,True,1.446188340807175,24.09013452914799,0
263,RUS,mercedes,6.0,111.0463,5.0,-6.5,Belgium,2025,102.598,0.5759999999999934,-2.0,17.030044843049332,965.047533632287,True,1.446188340807175,24.09013452914799,0
264,ALB,williams,5.0,111.1872,4.0,-6.0,Belgium,2025,103.261,1.23899999999999,7.0,17.030044843049332,965.047533632287,True,1.446188340807175,24.09013452914799,0
265,HAM,ferrari,18.0,111.00665000000001,17.0,7.5,Belgium,2025,103.085,1.0629999999999882,-11.0,17.030044843049332,965.047533632287,True,1.446188340807175,24.09013452914799,0
266,LAW,rb,9.0,111.43552500000001,8.0,0.5,Belgium,2025,103.478,1.4559999999999889,6.0,17.030044843049332,965.047533632287,True,1.446188340807175,24.09013452914799,0
267,BOR,sauber,10.0,111.51977500000001,9.0,-2.0,Belgium,2025,103.262,1.2399999999999949,3.0,17.030044843049332,965.047533632287,True,1.446188340807175,24.09013452914799,0
268,GAS,alpine,13.0,111.8838,12.0,-1.0,Belgium,2025,103.929,1.9069999999999965,3.0,17.030044843049332,965.047533632287,True,1.446188340807175,24.09013452914799,0
269,BEA,haas,12.0,111.913925,11.0,0.5,Belgium,2025,105.077,3.0549999999999926,8.0,17.030044843049332,965.047533632287,True,1.446188340807175,24.09013452914799,0
270,HUL,sauber,14.0,111.89122499999999,13.0,2.0,Belgium,2025,103.47,1.4479999999999933,0.0,17.030044843049332,965.047533632287,True,1.446188340807175,24.09013452914799,0
271,TSU,red_bull,7.0,112.0446,6.0,1.5,Belgium,2025,104.492,2.469999999999999,11.0,17.030044843049332,965.047533632287,True,1.446188340807175,24.09013452914799,0
272,STR,aston_martin,16.0,112.00869999999999,15.0,-2.0,Belgium,2025,103.112,1.0899999999999892,-8.0,17.030044843049332,965.047533632287,True,1.446188340807175,24.09013452914799,0
273,OCO,haas,11.0,112.24660000000002,10.0,-0.5,Belgium,2025,104.303,2.2809999999999917,6.0,17.030044843049332,965.047533632287,True,1.446188340807175,24.09013452914799,0
274,ANT,mercedes,19.0,112.14002500000001,18.0,6.5,Belgium,2025,102.979,0.9569999999999936,-13.0,17.030044843049332,965.047533632287,True,1.446188340807175,24.09013452914799,0
275,ALO,aston_martin,20.0,112.14332499999999,19.0,2.0,Belgium,2025,103.12,1.097999999999999,-11.0,17.030044843049332,965.047533632287,True,1.446188340807175,24.09013452914799,0
276,SAI,williams,17.0,112.30132499999999,16.0,6.0,Belgium,2025,103.217,1.1949999999999932,-6.0,17.030044843049332,965.047533632287,True,1.446188340807175,24.09013452914799,0
277,COL,alpine,15.0,112.4193,14.0,1.0,Belgium,2025,104.847,2.8249999999999886,4.0,17.030044843049332,965.047533632287,True,1.446188340807175,24.09013452914799,0
278,HAD,rb,8.0,113.30156410256411,7.0,-0.5,Belgium,2025,103.122,1.0999999999999943,2.0,17.030044843049332,965.047533632287,True,1.446188340807175,24.09013452914799,0
279,NOR,mclaren,3.0,81.61030434782609,2.0,0.5,Hungary,2025,74.948,0.031999999999996476,-1.0,22.082165605095543,987.140127388535,False,2.150955414012739,32.72993630573249,0
280,PIA,mclaren,2.0,81.65085507246377,1.0,-0.5,Hungary,2025,74.916,0.0,-1.0,22.082165605095543,987.140127388535,False,2.150955414012739,32.72993630573249,0
281,RUS,mercedes,4.0,81.9513768115942,3.0,-5.5,Hungary,2025,75.84,0.9240000000000066,2.0,22.082165605095543,987.140127388535,False,2.150955414012739,32.72993630573249,0
282,LEC,ferrari,1.0,82.19415942028985,0.0,-5.5,Hungary,2025,76.023,1.1069999999999993,7.0,22.082165605095543,987.140127388535,False,2.150955414012739,32.72993630573249,0
283,ALO,aston_martin,5.0,82.4743768115942,4.0,-0.5,Hungary,2025,76.233,1.3170000000000073,6.0,22.082165605095543,987.140127388535,False,2.150955414012739,32.72993630573249,0
284,BOR,sauber,7.0,82.56036231884059,6.0,-5.5,Hungary,2025,75.978,1.0619999999999976,0.0,22.082165605095543,987.140127388535,False,2.150955414012739,32.72993630573249,0
285,STR,aston_martin,6.0,82.58113043478261,5.0,0.5,Hungary,2025,75.828,0.9120000000000061,-1.0,22.082165605095543,987.140127388535,False,2.150955414012739,32.72993630573249,0
286,LAW,rb,9.0,82.59111594202899,8.0,-0.5,Hungary,2025,76.371,1.4549999999999983,4.0,22.082165605095543,987.140127388535,False,2.150955414012739,32.72993630573249,0
287,VER,red_bull,8.0,82.63055072463769,7.0,-6.0,Hungary,2025,76.162,1.2460000000000093,2.0,22.082165605095543,987.140127388535,False,2.150955414012739,32.72993630573249,0
288,ANT,mercedes,15.0,82.8597794117647,14.0,5.5,Hungary,2025,75.745,0.8290000000000077,-11.0,22.082165605095543,987.140127388535,False,2.150955414012739,32.72993630573249,0
289,HAD,rb,10.0,82.88608823529412,9.0,0.5,Hungary,2025,76.427,1.51100000000001,4.0,22.082165605095543,987.140127388535,False,2.150955414012739,32.72993630573249,0
290,HAM,ferrari,12.0,82.88388235294117,11.0,5.5,Hungary,2025,75.684,0.7680000000000007,-9.0,22.082165605095543,987.140127388535,False,2.150955414012739,32.72993630573249,0
